Date,Open,High,Low,Close
12/04/2023,0.5726,0.5907,0.5401,0.5759
12/03/2023,0.5719,0.5824,0.5669,0.5726
12/02/2023,0.5629,0.5719,0.5619,0.5718
12/01/2023,0.5576,0.5638,0.5541,0.5629
11/30/2023,0.5541,0.5586,0.5466,0.5578
11/29/2023,0.5565,0.5618,0.5513,0.554
11/28/2023,0.548,0.5592,0.5448,0.5564
11/27/2023,0.5658,0.5667,0.5432,0.5474
11/26/2023,0.5673,0.5831,0.5573,0.5657
11/25/2023,0.5677,0.5699,0.5638,0.5673
11/24/2023,0.5675,0.5737,0.5643,0.5678
11/23/2023,0.5631,0.572,0.5561,0.5673
11/22/2023,0.5466,0.5657,0.5278,0.5631
11/21/2023,0.5615,0.5646,0.5331,0.5467
11/20/2023,0.5735,0.5769,0.557,0.5615
11/19/2023,0.5605,0.5752,0.5527,0.5735
11/18/2023,0.5606,0.565,0.5414,0.5605
11/17/2023,0.5646,0.5752,0.5393,0.5612
11/16/2023,0.5949,0.6025,0.5563,0.5646
11/15/2023,0.5771,0.5966,0.5756,0.5949
11/14/2023,0.613,0.6341,0.5518,0.577
11/13/2023,0.6236,0.6998,0.6023,0.6132
11/12/2023,0.6234,0.6288,0.606,0.6236
11/11/2023,0.6214,0.6429,0.6002,0.6234
11/10/2023,0.6162,0.6285,0.5956,0.6211
11/09/2023,0.645,0.6598,0.5946,0.6162
11/08/2023,0.6433,0.6547,0.6302,0.645
11/07/2023,0.676,0.6761,0.614,0.6433
11/06/2023,0.607,0.6809,0.6059,0.6749
11/05/2023,0.5725,0.6149,0.5722,0.607
11/04/2023,0.5725,0.5767,0.5682,0.5725
11/03/2023,0.5719,0.5735,0.5579,0.5722
11/02/2023,0.5823,0.5877,0.5558,0.5719
11/01/2023,0.5684,0.5826,0.5499,0.5823
10/31/2023,0.5461,0.58,0.5308,0.5685
10/30/2023,0.5289,0.5508,0.5205,0.5461
10/29/2023,0.5176,0.5316,0.5125,0.5289
10/28/2023,0.5167,0.5211,0.5121,0.5176
10/27/2023,0.5226,0.5292,0.5058,0.5161
10/26/2023,0.5243,0.5381,0.5165,0.5226
10/25/2023,0.5259,0.5339,0.5103,0.5241
10/24/2023,0.503,0.5508,0.501,0.5259
10/23/2023,0.4903,0.5055,0.4881,0.5024
10/22/2023,0.4922,0.4948,0.4837,0.4901
10/21/2023,0.4928,0.5012,0.4824,0.4922
10/20/2023,0.4756,0.5013,0.4751,0.4928
10/19/2023,0.4643,0.4785,0.4531,0.4733
10/18/2023,0.4651,0.4673,0.4597,0.4643
10/17/2023,0.4693,0.4726,0.4606,0.4651
10/16/2023,0.466,0.4834,0.4612,0.4693
10/15/2023,0.4629,0.4663,0.4619,0.466
10/14/2023,0.4635,0.4666,0.46,0.4629
10/13/2023,0.4578,0.4638,0.4542,0.4635
10/12/2023,0.458,0.4605,0.4469,0.4578
10/11/2023,0.4693,0.4714,0.4524,0.4579
10/10/2023,0.4756,0.4793,0.4644,0.4693
10/09/2023,0.491,0.4924,0.4657,0.4754
10/08/2023,0.493,0.4947,0.4879,0.491
10/07/2023,0.498,0.5002,0.4917,0.4929
10/06/2023,0.4952,0.4995,0.4923,0.498
10/05/2023,0.506,0.508,0.4911,0.4952
10/04/2023,0.4892,0.4982,0.4887,0.497
10/02/2023,0.4892,0.4982,0.4887,0.497
10/01/2023,0.4898,0.4949,0.4858,0.4892
09/30/2023,0.5056,0.5074,0.486,0.4898
09/29/2023,0.48,0.5161,0.4774,0.5056
09/28/2023,0.4783,0.4821,0.4707,0.48
09/27/2023,0.474,0.4805,0.4696,0.4783
09/26/2023,0.4737,0.4785,0.4697,0.4738
09/25/2023,0.4755,0.4783,0.4615,0.4737
09/24/2023,0.4783,0.4807,0.4738,0.4755
09/23/2023,0.4809,0.4829,0.4777,0.4783
09/22/2023,0.4765,0.4849,0.4732,0.4805
09/21/2023,0.4856,0.4921,0.4703,0.4767
09/20/2023,0.4803,0.4911,0.4738,0.4856
09/19/2023,0.472,0.4836,0.4686,0.4801
09/18/2023,0.4601,0.4748,0.4576,0.472
09/17/2023,0.468,0.4695,0.4595,0.4595
09/16/2023,0.4696,0.4725,0.4662,0.468
09/15/2023,0.4604,0.4762,0.4572,0.4696
09/14/2023,0.4504,0.4635,0.4467,0.4604
09/13/2023,0.4487,0.4552,0.4406,0.4504
09/12/2023,0.439,0.4519,0.4378,0.4487
09/11/2023,0.4672,0.4676,0.4297,0.4386
09/10/2023,0.4706,0.4712,0.461,0.4672
09/09/2023,0.4712,0.4721,0.4686,0.4706
09/08/2023,0.47,0.4734,0.4624,0.4712
09/07/2023,0.4666,0.47,0.463,0.4693
