Date,Open,High,Low,Close
12/04/2023,"2,007.31","2,092.93","2,005.93","2,061.30"
12/03/2023,"1,993.78","2,007.49","1,976.64","2,007.32"
12/02/2023,"1,921.67","2,000.00","1,914.37","1,992.83"
12/01/2023,"1,879.50","1,938.64","1,875.10","1,922.37"
11/30/2023,"1,850.53","1,882.73","1,844.41","1,880.00"
11/29/2023,"1,869.81","1,887.70","1,843.03","1,849.17"
11/28/2023,"1,840.21","1,888.34","1,825.00","1,869.61"
11/27/2023,"1,898.86","1,903.49","1,815.00","1,840.27"
11/26/2023,"1,906.06","1,915.45","1,865.00","1,898.92"
11/25/2023,"1,908.01","1,911.98","1,890.94","1,906.07"
11/24/2023,"1,898.66","1,950.00","1,891.35","1,908.15"
11/23/2023,"1,912.22","1,919.25","1,872.18","1,897.78"
11/22/2023,"1,819.91","1,921.68","1,771.44","1,911.82"
11/21/2023,"1,853.03","1,860.60","1,786.82","1,820.19"
11/20/2023,"1,820.53","1,890.00","1,813.51","1,852.24"
11/19/2023,"1,799.90","1,823.32","1,785.00","1,819.08"
11/18/2023,"1,785.01","1,810.00","1,760.71","1,799.89"
11/17/2023,"1,802.91","1,834.07","1,756.26","1,785.01"
11/16/2023,"1,888.61","1,926.56","1,786.13","1,803.05"
11/15/2023,"1,822.43","1,903.26","1,810.69","1,889.76"
11/14/2023,"1,925.84","1,935.90","1,782.50","1,823.35"
11/13/2023,"1,930.01","1,980.00","1,901.43","1,927.07"
11/12/2023,"1,917.57","1,937.29","1,890.62","1,930.01"
11/11/2023,"1,960.51","1,961.08","1,905.47","1,917.55"
11/10/2023,"1,930.01","2,001.90","1,930.01","1,960.51"
11/09/2023,"1,763.43","1,955.29","1,760.93","1,932.03"
11/08/2023,"1,770.90","1,778.00","1,752.32","1,763.78"
11/07/2023,"1,766.58","1,783.53","1,735.00","1,770.91"
11/06/2023,"1,742.96","1,783.14","1,742.96","1,765.89"
11/05/2023,"1,715.73","1,782.02","1,715.71","1,741.78"
11/04/2023,"1,705.76","1,724.00","1,703.01","1,715.73"
11/03/2023,"1,700.79","1,709.41","1,674.65","1,705.21"
11/02/2023,"1,756.32","1,768.56","1,684.74","1,700.79"
11/01/2023,"1,715.99","1,753.86","1,692.11","1,753.86"
10/31/2023,"1,697.34","1,717.99","1,682.00","1,716.25"
10/30/2023,"1,701.79","1,726.09","1,681.63","1,697.88"
10/29/2023,"1,684.85","1,711.00","1,672.38","1,701.79"
10/28/2023,"1,685.21","1,705.93","1,680.91","1,684.84"
10/27/2023,"1,703.96","1,714.20","1,653.71","1,685.21"
10/26/2023,"1,692.16","1,766.80","1,674.94","1,703.96"
10/25/2023,"1,671.71","1,715.32","1,662.81","1,692.37"
10/24/2023,"1,601.62","1,744.00","1,599.36","1,672.20"
10/23/2023,"1,547.53","1,614.38","1,542.79","1,602.41"
10/22/2023,"1,538.32","1,554.35","1,531.94","1,547.52"
10/21/2023,"1,513.73","1,549.72","1,504.00","1,538.30"
10/20/2023,"1,480.79","1,538.98","1,478.99","1,513.73"
10/19/2023,"1,482.52","1,487.70","1,464.03","1,480.25"
10/18/2023,"1,475.01","1,500.27","1,472.73","1,482.52"
10/17/2023,"1,503.82","1,520.00","1,470.06","1,475.02"
10/16/2023,"1,487.77","1,549.88","1,476.97","1,502.40"
10/15/2023,"1,480.58","1,489.13","1,475.01","1,487.77"
10/14/2023,"1,483.57","1,496.44","1,471.00","1,480.58"
10/13/2023,"1,458.00","1,483.55","1,456.39","1,483.55"
10/12/2023,"1,472.04","1,477.56","1,443.83","1,457.85"
10/11/2023,"1,470.97","1,488.43","1,462.62","1,472.04"
10/10/2023,"1,492.81","1,509.47","1,464.27","1,470.80"
10/09/2023,"1,548.76","1,552.30","1,473.48","1,492.81"
10/08/2023,"1,544.23","1,550.37","1,529.26","1,548.75"
10/07/2023,"1,555.89","1,568.18","1,541.35","1,543.99"
10/06/2023,"1,532.22","1,562.00","1,528.01","1,556.37"
10/05/2023,"1,563.54","1,573.00","1,528.05","1,531.08"
10/04/2023,"1,583.07","1,659.99","1,582.76","1,635.21"
10/02/2023,"1,583.07","1,659.99","1,582.76","1,635.21"
10/01/2023,"1,588.89","1,601.50","1,579.00","1,582.85"
09/30/2023,"1,575.84","1,600.88","1,574.54","1,588.90"
09/29/2023,"1,567.64","1,589.89","1,555.73","1,575.85"
09/28/2023,"1,516.54","1,576.66","1,515.53","1,567.64"
09/27/2023,"1,499.48","1,547.29","1,497.45","1,516.97"
09/26/2023,"1,496.29","1,505.84","1,492.43","1,499.88"
09/25/2023,"1,492.82","1,505.86","1,470.38","1,497.97"
09/24/2023,"1,497.40","1,503.18","1,484.46","1,492.82"
09/23/2023,"1,493.74","1,500.58","1,492.08","1,497.40"
09/22/2023,"1,488.67","1,504.67","1,481.81","1,493.74"
09/21/2023,"1,522.00","1,528.00","1,473.34","1,488.66"
09/20/2023,"1,538.53","1,542.76","1,505.55","1,521.94"
09/19/2023,"1,530.40","1,552.72","1,521.59","1,538.53"
09/18/2023,"1,515.39","1,564.37","1,507.95","1,530.74"
09/17/2023,"1,532.01","1,534.75","1,514.06","1,514.06"
09/16/2023,"1,520.66","1,549.14","1,520.65","1,532.01"
09/15/2023,"1,527.00","1,535.00","1,510.62","1,520.67"
09/14/2023,"1,496.42","1,541.35","1,494.94","1,529.07"
09/13/2023,"1,485.39","1,499.30","1,472.10","1,496.42"
09/12/2023,"1,433.73","1,508.75","1,431.77","1,486.00"
09/11/2023,"1,512.46","1,518.79","1,426.72","1,433.37"
09/10/2023,"1,527.16","1,529.87","1,499.75","1,512.29"
09/09/2023,"1,529.28","1,530.00","1,524.19","1,527.16"
09/08/2023,"1,532.19","1,549.00","1,511.73","1,528.00"
09/07/2023,"1,517.70","1,532.57","1,517.45","1,532.19"
09/06/2023,"1,519.83","1,551.14","1,502.85","1,517.70"
09/05/2023,"1,506.04","1,535.88","1,490.97","1,519.79"
09/04/2023,"1,523.09","1,525.68","1,500.57","1,506.04"
09/03/2023,"1,516.17","1,526.01","1,508.31","1,523.09"
09/02/2023,"1,509.49","1,525.54","1,506.72","1,516.45"
09/01/2023,"1,519.11","1,524.46","1,485.30","1,510.90"
08/31/2023,"1,559.30","1,581.39","1,517.77","1,517.77"
08/30/2023,"1,585.73","1,592.10","1,553.17","1,558.75"
08/29/2023,"1,519.71","1,605.00","1,516.00","1,586.66"
08/28/2023,"1,531.21","1,535.90","1,504.97","1,519.53"
08/27/2023,"1,525.52","1,537.38","1,523.94","1,531.21"
08/26/2023,"1,527.45","1,532.67","1,522.50","1,525.52"
08/25/2023,"1,524.02","1,544.37","1,515.64","1,528.49"
08/24/2023,"1,550.65","1,551.26","1,511.27","1,524.02"
08/23/2023,"1,503.02","1,561.37","1,467.35","1,551.04"
08/22/2023,"1,535.01","1,537.09","1,493.54","1,503.22"
08/21/2023,"1,555.43","1,555.43","1,515.56","1,535.01"
08/20/2023,"1,540.53","1,559.00","1,532.20","1,554.61"
08/19/2023,"1,525.23","1,561.76","1,523.08","1,540.53"
08/18/2023,"1,577.44","1,580.72","1,433.81","1,525.23"
08/17/2023,"1,659.98","1,664.06","1,571.00","1,577.49"
08/16/2023,"1,674.34","1,675.53","1,652.08","1,660.00"
08/15/2023,"1,688.24","1,689.53","1,661.04","1,674.34"
08/14/2023,"1,692.20","1,696.00","1,676.07","1,688.24"
08/13/2023,"1,687.22","1,698.55","1,685.58","1,692.22"
08/12/2023,"1,683.58","1,692.00","1,682.68","1,687.22"
08/11/2023,"1,682.47","1,690.20","1,676.09","1,683.58"
08/10/2023,"1,685.93","1,690.00","1,675.14","1,682.47"
08/09/2023,"1,698.11","1,708.56","1,679.85","1,685.94"
08/08/2023,"1,656.56","1,704.00","1,654.67","1,698.11"
08/07/2023,"1,661.16","1,674.63","1,638.05","1,656.56"
08/06/2023,"1,665.48","1,668.97","1,657.77","1,661.16"
08/05/2023,"1,654.39","1,668.72","1,654.39","1,665.48"
08/04/2023,"1,683.01","1,685.00","1,650.00","1,654.52"
08/03/2023,"1,681.64","1,694.00","1,670.96","1,683.39"
08/02/2023,"1,682.05","1,701.11","1,663.38","1,681.64"
08/01/2023,"1,683.09","1,692.57","1,652.59","1,682.55"
07/31/2023,"1,689.51","1,697.49","1,680.76","1,683.08"
07/30/2023,"1,708.79","1,709.82","1,678.16","1,689.83"
07/29/2023,"1,701.63","1,710.00","1,695.13","1,708.79"
07/28/2023,"1,692.00","1,703.64","1,688.39","1,701.63"
07/27/2023,"1,696.55","1,704.21","1,680.58","1,692.01"
07/26/2023,"1,684.03","1,701.39","1,669.81","1,696.55"
07/25/2023,"1,672.43","1,691.71","1,667.05","1,684.03"
07/24/2023,"1,702.05","1,702.79","1,658.00","1,672.52"
07/23/2023,"1,697.05","1,712.00","1,667.88","1,702.05"
07/22/2023,"1,703.84","1,705.38","1,693.16","1,697.05"
07/21/2023,"1,695.29","1,712.07","1,694.76","1,703.84"
07/20/2023,"1,694.93","1,718.99","1,681.36","1,694.90"
07/19/2023,"1,689.17","1,712.04","1,687.86","1,695.76"
07/18/2023,"1,682.19","1,708.00","1,677.52","1,689.17"
07/17/2023,"1,720.16","1,725.90","1,668.86","1,682.19"
07/16/2023,"1,722.71","1,732.69","1,708.96","1,720.01"
07/15/2023,"1,706.32","1,735.52","1,706.32","1,722.71"
07/14/2023,"1,766.08","1,806.47","1,692.93","1,706.38"
07/13/2023,"1,683.14","1,795.00","1,673.70","1,766.08"
07/12/2023,"1,704.26","1,719.73","1,677.80","1,683.14"
07/11/2023,"1,720.56","1,721.35","1,695.32","1,704.27"
07/10/2023,"1,705.77","1,732.00","1,687.54","1,720.50"
07/09/2023,"1,687.13","1,714.45","1,685.12","1,705.72"
07/08/2023,"1,702.26","1,708.94","1,682.92","1,686.60"
07/07/2023,"1,729.89","1,733.28","1,677.03","1,702.07"
07/06/2023,"1,759.56","1,798.50","1,721.44","1,729.89"
07/05/2023,"1,784.58","1,785.02","1,740.61","1,759.56"
07/04/2023,"1,792.93","1,803.05","1,775.00","1,784.39"
07/03/2023,"1,756.60","1,812.01","1,754.83","1,793.70"
07/02/2023,"1,761.09","1,764.99","1,734.55","1,756.60"
07/01/2023,"1,764.99","1,778.99","1,748.45","1,761.09"
06/30/2023,"1,702.19","1,781.19","1,674.34","1,764.99"
06/29/2023,"1,678.82","1,726.55","1,674.02","1,702.09"
06/28/2023,"1,727.23","1,731.00","1,671.30","1,678.65"
06/27/2023,"1,696.24","1,744.00","1,693.71","1,725.20"
06/26/2023,"1,735.10","1,744.98","1,685.12","1,698.01"
06/25/2023,"1,722.48","1,769.00","1,712.52","1,735.12"
06/24/2023,"1,749.29","1,749.29","1,714.90","1,722.20"
06/23/2023,"1,721.76","1,774.82","1,704.83","1,749.51"
06/22/2023,"1,708.15","1,750.14","1,702.22","1,721.51"
06/21/2023,"1,634.25","1,726.68","1,626.00","1,707.21"
06/20/2023,"1,584.51","1,638.72","1,570.56","1,635.58"
06/19/2023,"1,580.66","1,598.35","1,559.56","1,583.80"
06/18/2023,"1,579.21","1,595.78","1,573.00","1,581.03"
06/17/2023,"1,577.01","1,608.74","1,566.33","1,579.21"
06/16/2023,"1,525.37","1,577.88","1,511.67","1,576.77"
06/15/2023,"1,511.87","1,529.19","1,493.70","1,522.66"
06/14/2023,"1,610.57","1,619.16","1,511.26","1,514.21"
06/13/2023,"1,615.93","1,632.73","1,600.31","1,610.73"
06/12/2023,"1,647.56","1,648.59","1,601.75","1,615.00"
06/11/2023,"1,626.63","1,654.56","1,622.77","1,647.56"
06/10/2023,"1,708.89","1,716.19","1,602.75","1,626.61"
06/09/2023,"1,718.04","1,722.54","1,696.00","1,708.38"
06/08/2023,"1,718.78","1,726.03","1,701.25","1,717.77"
06/07/2023,"1,754.97","1,770.83","1,711.98","1,718.68"
06/06/2023,"1,686.09","1,772.99","1,676.90","1,755.00"
06/05/2023,"1,778.38","1,784.46","1,666.42","1,686.09"
06/04/2023,"1,763.80","1,786.36","1,760.58","1,778.38"
06/03/2023,"1,780.44","1,783.10","1,760.00","1,763.64"
06/02/2023,"1,737.10","1,784.12","1,720.54","1,780.44"
06/01/2023,"1,746.18","1,766.26","1,724.76","1,737.09"
05/31/2023,"1,773.80","1,784.11","1,736.29","1,746.18"
05/30/2023,"1,766.15","1,785.15","1,755.00","1,774.09"
05/29/2023,"1,728.01","1,795.89","1,728.01","1,766.79"
05/28/2023,"1,704.23","1,732.51","1,700.53","1,728.00"
05/27/2023,"1,710.84","1,711.87","1,694.21","1,703.65"
05/26/2023,"1,686.92","1,716.16","1,675.83","1,710.84"
05/25/2023,"1,677.44","1,692.75","1,640.46","1,686.92"
05/24/2023,"1,720.85","1,722.93","1,651.00","1,678.08"
05/23/2023,"1,680.74","1,730.57","1,678.80","1,720.85"
05/22/2023,"1,671.18","1,688.94","1,656.57","1,680.77"
05/21/2023,"1,681.07","1,691.00","1,668.02","1,671.17"
05/20/2023,"1,677.70","1,691.82","1,672.73","1,680.78"
05/19/2023,"1,668.01","1,688.87","1,665.53","1,677.69"
05/18/2023,"1,685.17","1,691.80","1,646.05","1,668.00"
05/17/2023,"1,676.59","1,692.89","1,650.29","1,685.17"
05/16/2023,"1,678.76","1,684.16","1,652.23","1,677.08"
05/15/2023,"1,656.91","1,697.37","1,647.14","1,678.77"
05/14/2023,"1,663.97","1,680.68","1,651.17","1,656.91"
05/13/2023,"1,648.63","1,674.33","1,648.63","1,663.29"
05/12/2023,"1,645.97","1,652.69","1,594.27","1,648.63"
05/11/2023,"1,692.77","1,692.77","1,625.72","1,645.98"
05/10/2023,"1,687.48","1,717.05","1,636.58","1,693.06"
05/09/2023,"1,674.21","1,697.34","1,665.91","1,686.61"
05/08/2023,"1,738.24","1,745.72","1,647.46","1,674.21"
05/07/2023,"1,723.92","1,755.18","1,715.04","1,738.24"
05/06/2023,"1,807.28","1,829.31","1,697.62","1,723.92"
05/05/2023,"1,706.04","1,814.21","1,698.89","1,807.28"
05/04/2023,"1,694.72","1,735.90","1,694.72","1,705.92"
05/03/2023,"1,699.62","1,713.57","1,670.54","1,695.47"
05/02/2023,"1,648.00","1,709.00","1,648.00","1,699.58"
05/01/2023,"1,717.17","1,722.60","1,648.00","1,648.68"
04/30/2023,"1,727.75","1,758.51","1,706.05","1,716.90"
04/29/2023,"1,722.70","1,739.80","1,712.60","1,728.83"
04/28/2023,"1,740.89","1,748.20","1,701.10","1,721.87"
04/27/2023,"1,692.30","1,757.00","1,676.19","1,739.61"
04/26/2023,"1,698.50","1,776.07","1,624.71","1,690.79"
04/25/2023,"1,664.17","1,699.00","1,637.05","1,696.34"
04/24/2023,"1,682.67","1,718.30","1,641.58","1,664.17"
04/23/2023,"1,706.38","1,715.83","1,675.35","1,682.67"
04/22/2023,"1,669.58","1,721.00","1,669.58","1,706.94"
04/21/2023,"1,766.37","1,783.79","1,664.29","1,673.82"
04/20/2023,"1,808.61","1,810.29","1,749.77","1,766.50"
04/19/2023,"1,907.89","1,919.04","1,798.46","1,808.93"
04/18/2023,"1,900.76","1,934.23","1,884.34","1,906.83"
04/17/2023,"1,931.13","1,937.75","1,884.43","1,901.27"
04/16/2023,"1,899.65","1,944.55","1,888.01","1,931.22"
